DisplayName,Description,MailNickName
GRP_SP_Socios_Editores,Grupo para Gerenciar Permissao no SPO GRP_SP_Socios,GRP_SP_Socios_Editores
GRP_SP_Socios_Membros,Grupo de membros do SPO GRP_SP_Socios,GRP_SP_Socios_Membros
